Leibniz, Multi-Threaded (sec, thread_count_:21, n:5000)  == 0.005646
Leibniz, Multi-Threaded (sec, thread_count_:22, n:5000)  == 0.005898
Leibniz, Multi-Threaded (sec, thread_count_:23, n:5000)  == 0.006196
Leibniz, Multi-Threaded (sec, thread_count_:24, n:5000)  == 0.006522
Leibniz, Multi-Threaded (sec, thread_count_:25, n:5000)  == 0.006828
Leibniz, Multi-Threaded (sec, thread_count_:26, n:5000)  == 0.007081
Leibniz, Multi-Threaded (sec, thread_count_:27, n:5000)  == 0.010795
Leibniz, Multi-Threaded (sec, thread_count_:28, n:5000)  == 0.022616
Leibniz, Multi-Threaded (sec, thread_count_:1, n:10000)  == 0.000055
Leibniz, Multi-Threaded (sec, thread_count_:2, n:10000)  == 0.000596
Leibniz, Multi-Threaded (sec, thread_count_:3, n:10000)  == 0.000881
Leibniz, Multi-Threaded (sec, thread_count_:4, n:10000)  == 0.001306
Leibniz, Multi-Threaded (sec, thread_count_:5, n:10000)  == 0.001593
Leibniz, Multi-Threaded (sec, thread_count_:6, n:10000)  == 0.001878
Leibniz, Multi-Threaded (sec, thread_count_:7, n:10000)  == 0.002273
Leibniz, Multi-Threaded (sec, thread_count_:8, n:10000)  == 0.002509
Leibniz, Multi-Threaded (sec, thread_count_:9, n:10000)  == 0.002902
Leibniz, Multi-Threaded (sec, thread_count_:10, n:10000)  == 0.003288
Leibniz, Multi-Threaded (sec, thread_count_:11, n:10000)  == 0.003524
Leibniz, Multi-Threaded (sec, thread_count_:12, n:10000)  == 0.003852
Leibniz, Multi-Threaded (sec, thread_count_:13, n:10000)  == 0.004207
Leibniz, Multi-Threaded (sec, thread_count_:14, n:10000)  == 0.004468
Leibniz, Multi-Threaded (sec, thread_count_:15, n:10000)  == 0.004799
Leibniz, Multi-Threaded (sec, thread_count_:16, n:10000)  == 0.005049
Leibniz, Multi-Threaded (sec, thread_count_:17, n:10000)  == 0.005359
Leibniz, Multi-Threaded (sec, thread_count_:18, n:10000)  == 0.005747
Leibniz, Multi-Threaded (sec, thread_count_:19, n:10000)  == 0.006000
Leibniz, Multi-Threaded (sec, thread_count_:20, n:10000)  == 0.006421
Leibniz, Multi-Threaded (sec, thread_count_:21, n:10000)  == 0.006759
Leibniz, Multi-Threaded (sec, thread_count_:22, n:10000)  == 0.007023
Leibniz, Multi-Threaded (sec, thread_count_:23, n:10000)  == 0.007283
Leibniz, Multi-Threaded (sec, thread_count_:24, n:10000)  == 0.007672
Leibniz, Multi-Threaded (sec, thread_count_:25, n:10000)  == 0.008005
Leibniz, Multi-Threaded (sec, thread_count_:26, n:10000)  == 0.008401
Leibniz, Multi-Threaded (sec, thread_count_:27, n:10000)  == 0.012223
Leibniz, Multi-Threaded (sec, thread_count_:28, n:10000)  == 0.016053
Leibniz, Multi-Threaded (sec, thread_count_:1, n:20000)  == 0.000096
Leibniz, Multi-Threaded (sec, thread_count_:2, n:20000)  == 0.000966
Leibniz, Multi-Threaded (sec, thread_count_:3, n:20000)  == 0.001274
Leibniz, Multi-Threaded (sec, thread_count_:4, n:20000)  == 0.001547
Leibniz, Multi-Threaded (sec, thread_count_:5, n:20000)  == 0.001843
Leibniz, Multi-Threaded (sec, thread_count_:6, n:20000)  == 0.002160
Leibniz, Multi-Threaded (sec, thread_count_:7, n:20000)  == 0.002472
Leibniz, Multi-Threaded (sec, thread_count_:8, n:20000)  == 0.002786
Leibniz, Multi-Threaded (sec, thread_count_:9, n:20000)  == 0.003037
Leibniz, Multi-Threaded (sec, thread_count_:10, n:20000)  == 0.003277
Leibniz, Multi-Threaded (sec, thread_count_:11, n:20000)  == 0.003550
Leibniz, Multi-Threaded (sec, thread_count_:12, n:20000)  == 0.003818
Leibniz, Multi-Threaded (sec, thread_count_:13, n:20000)  == 0.004115
Leibniz, Multi-Threaded (sec, thread_count_:14, n:20000)  == 0.004387
Leibniz, Multi-Threaded (sec, thread_count_:15, n:20000)  == 0.004655
Leibniz, Multi-Threaded (sec, thread_count_:16, n:20000)  == 0.004897
Leibniz, Multi-Threaded (sec, thread_count_:17, n:20000)  == 0.005146
Leibniz, Multi-Threaded (sec, thread_count_:18, n:20000)  == 0.005412
Leibniz, Multi-Threaded (sec, thread_count_:19, n:20000)  == 0.005685
Leibniz, Multi-Threaded (sec, thread_count_:20, n:20000)  == 0.005966
Leibniz, Multi-Threaded (sec, thread_count_:21, n:20000)  == 0.006239
Leibniz, Multi-Threaded (sec, thread_count_:22, n:20000)  == 0.006505
Leibniz, Multi-Threaded (sec, thread_count_:23, n:20000)  == 0.006763
Leibniz, Multi-Threaded (sec, thread_count_:24, n:20000)  == 0.007066
Leibniz, Multi-Threaded (sec, thread_count_:25, n:20000)  == 0.007334
Leibniz, Multi-Threaded (sec, thread_count_:26, n:20000)  == 0.007618
Leibniz, Multi-Threaded (sec, thread_count_:27, n:20000)  == 0.010721
Leibniz, Multi-Threaded (sec, thread_count_:28, n:20000)  == 0.014453
Leibniz, Multi-Threaded (sec, thread_count_:1, n:30000)  == 0.000138
Leibniz, Multi-Threaded (sec, thread_count_:2, n:30000)  == 0.000855
Leibniz, Multi-Threaded (sec, thread_count_:3, n:30000)  == 0.001178
Leibniz, Multi-Threaded (sec, thread_count_:4, n:30000)  == 0.001463
Leibniz, Multi-Threaded (sec, thread_count_:5, n:30000)  == 0.001736
Leibniz, Multi-Threaded (sec, thread_count_:6, n:30000)  == 0.002051
Leibniz, Multi-Threaded (sec, thread_count_:7, n:30000)  == 0.002352
Leibniz, Multi-Threaded (sec, thread_count_:8, n:30000)  == 0.002644
Leibniz, Multi-Threaded (sec, thread_count_:9, n:30000)  == 0.002930
Leibniz, Multi-Threaded (sec, thread_count_:10, n:30000)  == 0.003239
Leibniz, Multi-Threaded (sec, thread_count_:11, n:30000)  == 0.003497
Leibniz, Multi-Threaded (sec, thread_count_:12, n:30000)  == 0.003777
Leibniz, Multi-Threaded (sec, thread_count_:13, n:30000)  == 0.004024
Leibniz, Multi-Threaded (sec, thread_count_:14, n:30000)  == 0.004308
Leibniz, Multi-Threaded (sec, thread_count_:15, n:30000)  == 0.004592
Leibniz, Multi-Threaded (sec, thread_count_:16, n:30000)  == 0.004852
Leibniz, Multi-Threaded (sec, thread_count_:17, n:30000)  == 0.005107
Leibniz, Multi-Threaded (sec, thread_count_:18, n:30000)  == 0.005382
Leibniz, Multi-Threaded (sec, thread_count_:19, n:30000)  == 0.005645
Leibniz, Multi-Threaded (sec, thread_count_:20, n:30000)  == 0.005889
Leibniz, Multi-Threaded (sec, thread_count_:21, n:30000)  == 0.006142
Leibniz, Multi-Threaded (sec, thread_count_:22, n:30000)  == 0.006394
Leibniz, Multi-Threaded (sec, thread_count_:23, n:30000)  == 0.006678
Leibniz, Multi-Threaded (sec, thread_count_:24, n:30000)  == 0.006948
Leibniz, Multi-Threaded (sec, thread_count_:25, n:30000)  == 0.007214
Leibniz, Multi-Threaded (sec, thread_count_:26, n:30000)  == 0.007519
Leibniz, Multi-Threaded (sec, thread_count_:27, n:30000)  == 0.010768
Leibniz, Multi-Threaded (sec, thread_count_:28, n:30000)  == 0.031573
Leibniz, Multi-Threaded (sec, thread_count_:1, n:40000)  == 0.000192
Leibniz, Multi-Threaded (sec, thread_count_:2, n:40000)  == 0.000891
Leibniz, Multi-Threaded (sec, thread_count_:3, n:40000)  == 0.001174
Leibniz, Multi-Threaded (sec, thread_count_:4, n:40000)  == 0.001424
Leibniz, Multi-Threaded (sec, thread_count_:5, n:40000)  == 0.001686
Leibniz, Multi-Threaded (sec, thread_count_:6, n:40000)  == 0.001975
Leibniz, Multi-Threaded (sec, thread_count_:7, n:40000)  == 0.002224
Leibniz, Multi-Threaded (sec, thread_count_:8, n:40000)  == 0.002444
Leibniz, Multi-Threaded (sec, thread_count_:9, n:40000)  == 0.002657
Leibniz, Multi-Threaded (sec, thread_count_:10, n:40000)  == 0.002891
Leibniz, Multi-Threaded (sec, thread_count_:11, n:40000)  == 0.003137
Leibniz, Multi-Threaded (sec, thread_count_:12, n:40000)  == 0.003356
Leibniz, Multi-Threaded (sec, thread_count_:13, n:40000)  == 0.003569
Leibniz, Multi-Threaded (sec, thread_count_:14, n:40000)  == 0.003781
Leibniz, Multi-Threaded (sec, thread_count_:15, n:40000)  == 0.004042
Leibniz, Multi-Threaded (sec, thread_count_:16, n:40000)  == 0.004269
Leibniz, Multi-Threaded (sec, thread_count_:17, n:40000)  == 0.004485
Leibniz, Multi-Threaded (sec, thread_count_:18, n:40000)  == 0.004740
Leibniz, Multi-Threaded (sec, thread_count_:19, n:40000)  == 0.005006
Leibniz, Multi-Threaded (sec, thread_count_:20, n:40000)  == 0.005237
Leibniz, Multi-Threaded (sec, thread_count_:21, n:40000)  == 0.005481
Leibniz, Multi-Threaded (sec, thread_count_:22, n:40000)  == 0.005743
Leibniz, Multi-Threaded (sec, thread_count_:23, n:40000)  == 0.006035
Leibniz, Multi-Threaded (sec, thread_count_:24, n:40000)  == 0.006343
Leibniz, Multi-Threaded (sec, thread_count_:25, n:40000)  == 0.006652
Leibniz, Multi-Threaded (sec, thread_count_:26, n:40000)  == 0.006929
Leibniz, Multi-Threaded (sec, thread_count_:27, n:40000)  == 0.007163
Leibniz, Multi-Threaded (sec, thread_count_:28, n:40000)  == 0.008393
Leibniz, Multi-Threaded (sec, thread_count_:1, n:50000)  == 0.000239
Leibniz, Multi-Threaded (sec, thread_count_:2, n:50000)  == 0.000794
Leibniz, Multi-Threaded (sec, thread_count_:3, n:50000)  == 0.001140
Leibniz, Multi-Threaded (sec, thread_count_:4, n:50000)  == 0.001464
Leibniz, Multi-Threaded (sec, thread_count_:5, n:50000)  == 0.001767
Leibniz, Multi-Threaded (sec, thread_count_:6, n:50000)  == 0.002071
Leibniz, Multi-Threaded (sec, thread_count_:7, n:50000)  == 0.002366
Leibniz, Multi-Threaded (sec, thread_count_:8, n:50000)  == 0.002650
Leibniz, Multi-Threaded (sec, thread_count_:9, n:50000)  == 0.002974
Leibniz, Multi-Threaded (sec, thread_count_:10, n:50000)  == 0.003252
Leibniz, Multi-Threaded (sec, thread_count_:11, n:50000)  == 0.003490
Leibniz, Multi-Threaded (sec, thread_count_:12, n:50000)  == 0.003748
Leibniz, Multi-Threaded (sec, thread_count_:13, n:50000)  == 0.004058
Leibniz, Multi-Threaded (sec, thread_count_:14, n:50000)  == 0.004334
Leibniz, Multi-Threaded (sec, thread_count_:15, n:50000)  == 0.004598
Leibniz, Multi-Threaded (sec, thread_count_:16, n:50000)  == 0.004857
Leibniz, Multi-Threaded (sec, thread_count_:17, n:50000)  == 0.005093
Leibniz, Multi-Threaded (sec, thread_count_:18, n:50000)  == 0.005321
Leibniz, Multi-Threaded (sec, thread_count_:19, n:50000)  == 0.005535
Leibniz, Multi-Threaded (sec, thread_count_:20, n:50000)  == 0.005751
Leibniz, Multi-Threaded (sec, thread_count_:21, n:50000)  == 0.005996
Leibniz, Multi-Threaded (sec, thread_count_:22, n:50000)  == 0.006220
Leibniz, Multi-Threaded (sec, thread_count_:23, n:50000)  == 0.006434
Leibniz, Multi-Threaded (sec, thread_count_:24, n:50000)  == 0.006652
Leibniz, Multi-Threaded (sec, thread_count_:25, n:50000)  == 0.006876
Leibniz, Multi-Threaded (sec, thread_count_:26, n:50000)  == 0.008348
Leibniz, Multi-Threaded (sec, thread_count_:27, n:50000)  == 0.008591
Leibniz, Multi-Threaded (sec, thread_count_:28, n:50000)  == 0.011153
Leibniz, Multi-Threaded (sec, thread_count_:1, n:100000)  == 0.000423
Leibniz, Multi-Threaded (sec, thread_count_:2, n:100000)  == 0.001115
Leibniz, Multi-Threaded (sec, thread_count_:3, n:100000)  == 0.001594
Leibniz, Multi-Threaded (sec, thread_count_:4, n:100000)  == 0.001954
Leibniz, Multi-Threaded (sec, thread_count_:5, n:100000)  == 0.002432
Leibniz, Multi-Threaded (sec, thread_count_:6, n:100000)  == 0.002868
Leibniz, Multi-Threaded (sec, thread_count_:7, n:100000)  == 0.003249
Leibniz, Multi-Threaded (sec, thread_count_:8, n:100000)  == 0.003580
Leibniz, Multi-Threaded (sec, thread_count_:9, n:100000)  == 0.004027
Leibniz, Multi-Threaded (sec, thread_count_:10, n:100000)  == 0.004437
